"","population","perCapInc","PctPopUnderPov","pctUrban","HighCrime"
"1",0.19,0.4,0.19,1,0
"2",0,0.37,0.24,1,1
"3",0,0.27,0.27,0,0
"4",0.04,0.36,0.1,1,0
"5",0.01,0.43,0.06,0.9,0
"6",0.02,0.72,0.12,1,0
"7",0.01,0.47,0.11,0.81,0
"8",0.01,0.1,0.64,0,1
"9",0.03,0.23,0.45,1,1
"10",0.01,0.89,0.11,1,0
"11",0.13,0.33,0.18,1,0
"12",0.02,0.72,0.07,1,0
"13",0.03,0.78,0.07,1,0
"14",0.01,0.41,0.07,0.77,0
"15",0.04,0.79,0.18,1,0
"16",0.03,0.22,0.33,0,0
"17",0.15,0.29,0.48,1,0
"18",0.01,0.69,0.04,0.76,0
"19",0.02,0.34,0.22,0,0
"20",0,0.22,0.28,0.58,0
"21",0.25,0.29,0.34,1,0
"22",1,0.3,0.33,0.99,1
"23",0.01,0.2,0.58,0,0
"24",0.11,0.25,0.36,1,1
"25",0.02,0.08,0.63,0,0
"26",0,0.34,0.3,1,0
"27",0.06,0.32,0.25,1,1
"28",0.01,0.23,0.32,0,0
"29",0.01,0.25,0.57,0,0
"30",0,0.48,0.01,0,0
"31",0.01,0.25,0.45,0,0
"32",0.29,0.29,0.33,1,0
"33",0.04,0.17,1,1,0
"34",0.09,0.26,0.43,1,0
"35",0.03,0.8,0.06,1,0
"36",0.19,0.25,0.38,1,0
"37",0.03,0.46,0.1,1,0
"38",0.01,0.14,0.59,0,0
"39",0.02,0.18,0.48,0,0
"40",0.01,0.78,0.02,0,0
"41",0.01,0.31,0.1,0,0
"42",0.06,0.32,0.17,1,0
"43",0,0.16,0.54,1,1
"44",0.09,0.57,0.17,1,0
"45",0.02,0.59,0.07,1,0
"46",0.12,0.28,0.44,1,0
"47",0.03,0.3,0.18,0.68,0
"48",0,0.18,0.57,0,0
"49",0.04,0.45,0.18,1,0
"50",0.01,0.22,0.34,0,0
"51",0.06,0.26,0.43,1,0
"52",0.35,0.31,0.31,1,1
"53",0.04,0.33,0.13,1,0
"54",0.02,0.67,0.05,0.77,0
"55",0,0.18,0.43,1,0
"56",0.01,0.13,0.61,0,0
"57",0.16,0.43,0.16,1,0
"58",0,0.19,0.43,0,0
"59",0.24,0.38,0.3,0.99,1
"60",0,0.38,0.1,1,0
"61",0.01,0.49,0.08,1,0
"62",0.02,0.27,0.3,0,0
"63",0,0.18,0.5,0,0
"64",0.01,0.21,0.46,0,1
"65",0.02,0.21,0.44,0,0
"66",0.04,1,0.09,1,0
"67",0.07,0.26,0.37,1,1
"68",0.01,0.78,0.08,0.93,0
"69",0.05,0.21,0.4,1,1
"70",0,0.22,0.25,0,0
"71",0.04,0.79,0.04,1,0
"72",0.05,0.41,0.1,0,0
"73",0.04,0.24,0.44,1,0
"74",0.02,0.67,0.06,0.09,0
"75",0.08,0.36,0.18,1,0
"76",0.02,0.34,0.24,0.99,0
"77",0.02,0.2,0.39,1,0
"78",0.08,0.15,0.75,0.99,1
"79",0.14,0.17,0.57,1,1
"80",0.34,0.35,0.19,1,1
"81",0.29,0.42,0.28,1,0
"82",0.09,0.19,0.44,1,0
"83",0,0.15,0.52,0,1
"84",0.01,0.35,0.09,0.81,0
"85",0,0.11,0.82,0,0
"86",0,0.19,0.31,0,0
"87",0.02,0.32,0.2,0,0
"88",0.02,0.71,0.11,1,0
"89",0,0.17,0.49,0,0
"90",0.04,0.31,0.19,1,0
"91",0.02,0.36,0.27,0,1
"92",0.02,0.33,0.24,1,0
"93",0,0.72,0.11,0.66,0
"94",0,0.31,0.09,1,0
"95",0.04,0.33,0.22,1,0
"96",0.07,0.37,0.19,1,0
"97",0.03,0.27,0.49,0,0
"98",0.06,0.21,0.64,0,0
"99",0.01,0.44,0.03,0.63,0
"100",0.14,0.34,0.23,1,0
"101",0.11,0.19,0.42,1,0
"102",0,0.39,0.12,1,0
"103",0.18,0.38,0.28,1,0
"104",0.24,0.26,0.44,1,0
"105",0,0.2,0.31,0,0
"106",0.01,0.1,0.99,0,0
"107",0.05,0.33,0.73,1,0
